	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1129_at	58.25	A	0.88	39.19	A	0.84	24.58	A	0.96	26.14	A	0.93	40.93	A	0.89	50.13	A	0.8	55.44	A	0.91	116.58	A	0.89
113_i_at	710.24	P	0	792.61	P	0	92.11	A	0.25	145.45	P	0.02	37.38	A	0.77	8.57	A	0.78	13.89	A	0.82	24.46	A	0.78
1130_at	2473.47	P	0	1910.72	P	0	1055.52	P	0	841.46	P	0	1062.14	P	0	1255.23	P	0	928.54	P	0	906.3	P	0
1131_at	1628.77	P	0	1766.3	P	0	491.59	P	0	902.43	P	0	1602.73	P	0	1732.72	P	0	1511.44	P	0	1414.72	P	0.02
1132_s_at	339.85	A	0.15	256.27	A	0.19	556.69	A	0.15	287.83	A	0.16	769.64	A	0.09	760.26	A	0.08	732.4	A	0.18	937.03	A	0.06
1133_at	42.72	A	0.81	27.29	A	0.77	26.29	A	0.9	19.51	A	0.94	77.41	A	0.7	31.7	A	0.73	64.93	A	0.8	67.74	A	0.58
1134_at	1858.04	P	0	2386.94	P	0	1306.64	P	0	1164.61	P	0	724.88	M	0.04	868.35	P	0.04	839.82	A	0.06	894.74	A	0.07
1135_at	635.69	A	0.08	562.96	P	0.01	688.7	A	0.07	545.37	P	0.03	743.54	A	0.16	590.52	M	0.05	350.15	A	0.32	131.34	A	0.52
1136_at	328.69	A	0.14	273.81	P	0.04	317.05	A	0.1	252.81	A	0.1	480.07	A	0.09	527.36	P	0.04	263.02	A	0.2	482.52	P	0.03
1137_at	321.33	P	0	500.36	P	0	262.28	P	0.01	205.13	P	0.02	48.9	A	0.48	208.66	P	0.02	74.3	A	0.68	263.63	A	0.15
1138_at	1423.18	P	0.01	1149.7	P	0.01	837.74	P	0.04	1008.24	P	0.02	958.75	M	0.05	1400.39	M	0.05	176.51	A	0.6	189.03	A	0.64
1139_at	16.48	A	0.77	66.45	A	0.22	266.98	P	0	287.82	P	0	174.46	A	0.23	92.21	M	0.04	51.26	A	0.28	197.15	A	0.13
114_r_at	49.34	A	0.62	25.69	A	0.48	40.95	A	0.7	35.82	A	0.7	43.01	A	0.52	22.89	A	0.66	29.57	A	0.7	25.47	A	0.57
1140_at	175.29	A	0.5	219.65	A	0.27	174.24	A	0.54	359.2	A	0.34	58.06	A	0.77	237.05	A	0.58	42.11	A	0.9	259.39	A	0.73
1141_at	240.1	A	0.22	156.75	P	0.02	300.93	P	0.02	320.69	P	0.03	267.24	A	0.06	226.82	P	0.01	268.01	A	0.15	375.05	P	0.04
