	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
41376_i_at	100	A	0.68	29.49	A	0.52	18.41	A	0.79	103.3	A	0.25	245.28	A	0.1	274.76	P	0.01	7621.49	P	0	7818.67	P	0
41377_f_at	10.91	A	0.96	9.23	A	0.8	79.7	A	0.38	24.41	A	0.6	187.46	P	0	268.51	P	0	5040.68	P	0	6654.89	P	0
41378_at	97.41	A	0.48	44.07	A	0.22	84.37	A	0.12	75.3	A	0.22	58.27	A	0.42	13.62	A	0.7	98.32	A	0.13	14.31	A	0.73
41379_at	216.88	P	0	92.66	P	0	479.64	P	0	475.14	P	0	169.19	P	0	194.5	P	0	93.66	P	0.03	177.99	P	0.03
41380_at	620.51	A	0.14	705.34	A	0.06	617.21	M	0.05	579.84	A	0.12	777.91	A	0.16	904.74	M	0.05	1027.65	A	0.18	1337.72	A	0.07
41381_at	328.65	P	0	180.35	P	0	879.54	P	0	1027.53	P	0	138.08	P	0.01	133.3	P	0	61.41	A	0.28	137.36	P	0.03
41382_at	155.83	A	0.62	118.24	A	0.54	147.7	A	0.62	108.18	A	0.66	166.64	A	0.46	197.72	A	0.5	235.46	A	0.56	203.84	A	0.7
41383_at	142.8	A	0.66	144.15	A	0.62	175.57	A	0.6	111.59	A	0.73	221.32	A	0.73	288.58	A	0.54	283.84	A	0.72	271.58	A	0.78
41384_at	24.18	A	0.81	52.11	A	0.42	97.17	A	0.36	82.76	A	0.6	108.84	A	0.5	52.97	A	0.5	96.15	A	0.54	96.27	A	0.52
41385_at	4172.4	P	0	2881.25	P	0	1296.77	P	0	1956.28	P	0	276.54	P	0.02	264.61	P	0.01	147.74	A	0.15	183.02	A	0.07
41386_i_at	670.42	M	0.06	858.08	P	0.01	2562.39	P	0	2628.87	P	0	586.85	P	0.03	679.5	P	0.01	547.67	A	0.14	941.67	M	0.04
41387_r_at	405.02	A	0.16	362.22	P	0.04	804.36	P	0.02	564.21	P	0.01	321.83	A	0.06	332.34	P	0.04	513.54	A	0.13	620.19	P	0.04
41388_at	491.87	P	0.02	336.59	P	0.01	1429.5	P	0	1711.41	P	0	67.48	A	0.6	142.16	P	0.02	151.22	A	0.16	114.99	M	0.05
41389_s_at	263.15	A	0.19	191.38	A	0.1	251.39	P	0.02	276.75	M	0.05	186.11	A	0.27	112.56	A	0.19	71.66	A	0.58	190.88	A	0.36
41390_at	99.58	A	0.4	120.12	A	0.25	400.41	P	0.04	363.43	P	0.02	188.25	A	0.32	203.92	A	0.15	39.01	A	0.87	208.68	A	0.54
41391_at	44.61	A	0.78	21.31	A	0.86	24.21	A	0.8	20.4	A	0.68	34.82	A	0.8	54.26	A	0.5	40.9	A	0.64	47.19	A	0.6
41392_at	64.86	A	0.27	35.84	A	0.48	151.04	A	0.06	133.26	A	0.11	48.1	A	0.56	56.03	A	0.4	34.08	A	0.68	108.31	A	0.18
41393_at	55.42	A	0.18	11.83	A	0.6	170.51	P	0.01	167.33	P	0	17.73	A	0.95	45.42	A	0.32	5	A	0.96	14.96	A	0.7
41394_at	79.23	A	0.64	174.45	A	0.28	252.25	A	0.32	225.3	A	0.32	267.88	A	0.46	323.94	A	0.25	66.27	A	0.78	269.26	A	0.52
41395_at	6155.93	P	0	7437.61	P	0	2764.07	P	0	2672.3	P	0	215.02	P	0.02	561.11	P	0	500	P	0.04	492.8	P	0
41396_at	919.44	P	0	1657.61	P	0	1971.17	P	0	2117.83	P	0	343.97	P	0.04	237.6	P	0	85.01	A	0.48	149.15	A	0.3
41397_at	304.04	A	0.4	371.19	A	0.22	433.34	A	0.28	424.85	A	0.23	164.93	A	0.77	53.23	A	0.8	36.62	A	0.98	47.03	A	0.96
41398_at	145.09	A	0.06	89.69	P	0.01	472.48	P	0.01	339.96	P	0	84.43	A	0.42	88.14	A	0.18	18.93	A	0.42	83.3	A	0.46
41399_at	231.04	P	0	328.66	P	0	244.36	P	0.01	290.23	P	0	515.71	P	0	612.14	P	0	778.98	P	0	507.32	P	0.03
414_at	78.23	A	0.46	248.17	A	0.12	284.28	A	0.16	198.17	A	0.23	138.25	A	0.38	259.43	A	0.27	137.27	A	0.38	420.1	A	0.19
41400_at	99.4	A	0.5	302.02	A	0.13	267.76	A	0.32	281.94	A	0.3	1357.59	P	0	1105.34	P	0	481.77	A	0.14	438.8	A	0.16
41401_at	157.83	A	0.28	161.64	P	0.01	1534.51	P	0	1726.14	P	0	96.15	A	0.52	119.93	A	0.12	84.42	A	0.68	76.35	A	0.62
41402_at	177.37	A	0.19	326.46	P	0.02	103.85	A	0.36	137.75	A	0.2	101.5	A	0.5	21.42	A	0.7	20.79	A	0.91	24.23	A	0.86
41403_at	562.33	P	0	303.32	P	0	572.28	P	0	616.94	P	0	601.06	P	0	728.84	P	0	491.06	P	0	410.43	P	0.02
41404_at	652.5	A	0.19	747.71	M	0.05	367.1	A	0.18	227.26	A	0.36	598.16	A	0.16	529.04	A	0.13	887.68	A	0.22	1266.98	A	0.16
41405_at	70.22	M	0.05	2.99	A	0.38	69.41	A	0.16	25.15	A	0.36	25.74	A	0.58	42.3	A	0.07	12.15	A	0.46	27.41	A	0.4
41406_at	431.39	A	0.12	670.99	P	0.02	711.01	M	0.04	968.04	P	0.01	233.78	A	0.25	341.46	A	0.16	127.06	A	0.42	163.56	A	0.3
41407_at	830.33	P	0.02	697.25	P	0.01	574.33	A	0.18	451.38	A	0.1	540.34	A	0.08	683.79	A	0.13	784.24	A	0.07	571.59	A	0.2
41408_at	216.66	P	0.04	184.87	P	0.02	281.61	M	0.05	281.99	P	0.02	272.99	M	0.05	228.45	P	0.04	35.55	A	0.73	241.74	A	0.27
41409_at	249.43	A	0.08	140.12	P	0.03	114.16	A	0.5	170.16	A	0.13	308.9	A	0.22	370.77	P	0.02	247.9	A	0.18	306.49	A	0.34
41410_at	26.55	A	0.81	9.79	A	0.82	11.74	A	0.93	16.92	A	0.86	36.22	A	0.9	63.44	A	0.72	24.76	A	0.86	40.41	A	0.75
41411_at	586.66	P	0	336.44	P	0	404.68	P	0	340.79	P	0	380.25	P	0.01	315.55	P	0.01	399.74	P	0	391.24	P	0.01
41412_at	447.69	A	0.07	554.63	P	0.02	455.32	A	0.07	491.49	P	0.02	61.13	A	0.96	58.3	A	0.95	60.47	A	0.99	48.87	A	0.99
41413_at	734.8	P	0.03	1244.36	P	0	567.52	A	0.06	662.83	M	0.04	930.21	P	0.02	948.99	P	0.01	1579.54	P	0.02	1666.41	P	0.04
41414_at	95.19	A	0.85	131.2	A	0.73	88.26	A	0.93	53.15	A	0.92	178.85	A	0.78	185.07	A	0.66	385.33	A	0.68	335.37	A	0.6
41415_at	378.71	A	0.06	528.17	P	0.01	524.5	M	0.05	528.42	P	0.04	383.8	A	0.07	622.68	P	0.04	540.4	A	0.22	662.22	A	0.11
41416_at	29.01	A	0.77	68.14	A	0.46	40.23	A	0.56	9.04	A	0.8	7122.42	P	0	8322.61	P	0	1775.96	P	0	2146.12	P	0
41417_at	789.04	P	0	745.79	P	0	403.08	P	0.01	405.62	P	0	331.34	P	0.02	575.23	P	0.01	358.44	A	0.23	408.39	A	0.12
41418_at	1494.07	P	0	1824.69	P	0	1999.97	P	0	1657.05	P	0	236.88	A	0.62	63.77	A	0.77	103.91	A	0.72	204.09	A	0.58
41419_at	103.3	P	0.03	68.15	P	0.02	257.65	P	0	314.05	P	0	13.11	A	0.9	6.78	A	0.87	7.77	A	0.73	44.62	A	0.42
41420_at	24.8	A	0.94	17.47	A	0.95	39.91	A	0.68	29.93	A	0.8	52.33	A	0.68	45.33	A	0.72	74.88	A	0.52	62.09	A	0.77
41421_at	2131.84	P	0	3508.63	P	0	990.19	P	0	976.1	P	0	485.9	P	0	390.89	P	0	516.43	P	0	460.86	P	0
41422_at	190.35	A	0.56	196.48	A	0.54	121.66	A	0.48	162.08	A	0.34	1079.66	P	0	1093.21	P	0	5875.46	P	0	4302.69	P	0
41423_at	6644.39	P	0	7179.11	P	0	3138.6	P	0	2263.82	P	0	2086.29	A	0.07	1890.55	M	0.05	2744.09	M	0.05	2650.88	A	0.13
41424_at	37.43	A	0.73	27.4	A	0.56	146.59	A	0.56	56.59	A	0.5	2716.64	P	0	2769.06	P	0	11016.55	P	0	9361.74	P	0
41425_at	40.45	A	0.46	49.63	P	0.01	54.08	A	0.18	46.36	A	0.2	85.37	A	0.12	131.51	P	0.02	63.68	A	0.3	85.08	A	0.3
41426_at	451.47	A	0.25	398.69	A	0.11	505.49	A	0.2	297.14	A	0.4	237.28	A	0.56	497.64	A	0.23	705.95	A	0.23	742.04	A	0.14
41427_at	65.22	A	0.94	19.58	A	0.98	40.53	A	0.97	16.51	A	0.99	70.26	A	0.97	26.61	A	0.97	63.07	A	0.93	79.49	A	0.96
41428_at	411.41	P	0.01	512.82	P	0.01	493.14	A	0.07	374.44	A	0.08	464.66	P	0.04	306.66	A	0.1	43.34	A	0.58	107.36	A	0.77
41429_at	119.85	A	0.48	117.82	A	0.28	181.16	A	0.34	194.99	A	0.1	388.29	P	0.03	476.39	P	0.01	47.53	A	0.7	54.24	A	0.62
41430_at	1545.9	P	0	1410.71	P	0	1301.27	P	0	1073.19	P	0	262.12	A	0.16	293.94	A	0.11	193.29	A	0.4	322.85	A	0.27
41431_at	82.4	A	0.13	43.22	M	0.05	240.04	P	0	350.72	P	0	11.14	A	0.82	39.52	A	0.4	59.07	A	0.62	3.74	A	0.93
41432_at	170.81	P	0.01	58.51	P	0.02	125.04	P	0.02	209.87	P	0	59.73	A	0.18	18.66	A	0.16	67.86	A	0.07	36.04	A	0.06
41433_at	80.34	A	0.34	8.24	A	0.64	110.7	A	0.3	92.3	A	0.08	463.09	P	0	673.99	P	0	177.33	A	0.13	119.02	A	0.22
41434_at	246.04	P	0	202.27	P	0	364.18	P	0	353.79	P	0	81.78	A	0.28	48.14	A	0.22	66.83	A	0.3	33.61	A	0.4
41435_at	1246.74	P	0	1869.65	P	0	647.82	P	0	855.38	P	0	359.61	A	0.32	167.07	A	0.46	535.1	A	0.36	461.16	A	0.4
41436_at	243.66	P	0.01	133.09	P	0	566.53	P	0	718.69	P	0	111.1	A	0.1	45.8	A	0.1	37.35	A	0.54	6.7	A	0.56
41437_at	60.41	A	0.44	66.57	M	0.05	150.54	A	0.13	131.66	P	0.03	117.97	A	0.2	152.8	A	0.09	101.59	A	0.28	15.87	A	0.66
41438_at	370.83	P	0.01	202.86	P	0.02	701.76	P	0	818.66	P	0	30.87	A	0.77	39.6	A	0.44	19.4	A	0.86	22.88	A	0.82
41439_at	127.76	M	0.04	84.65	P	0.02	407.39	P	0	410.14	P	0	459.52	P	0	650.62	P	0	278.46	P	0	180.66	P	0.01
41440_at	344.86	A	0.22	250.66	M	0.04	70.78	A	0.77	43.23	A	0.81	451.65	A	0.08	466.36	P	0.04	3110.91	P	0.01	2368.41	P	0.02
41441_at	220.94	A	0.07	238.04	P	0.01	372.85	P	0.02	398.43	P	0.01	317.79	A	0.08	248.11	P	0.02	133.22	A	0.2	380.92	A	0.18
41442_at	179.45	A	0.25	366.72	A	0.07	484.09	A	0.13	249.59	A	0.18	1095.4	A	0.23	690.43	A	0.25	729.07	A	0.18	1226.6	A	0.14
41443_at	276.37	P	0.03	190.28	P	0.03	370.93	P	0.02	281.23	A	0.07	528.31	P	0.02	596.93	P	0.01	781.86	P	0.01	866.13	P	0.01
41444_at	162.57	A	0.22	102.33	A	0.22	191.99	A	0.23	126.72	A	0.34	191.67	A	0.08	170.83	A	0.12	133.11	A	0.48	316.87	A	0.12
41445_at	253.6	A	0.14	367.22	P	0.01	573.03	P	0	348.08	P	0	690.26	P	0.02	610.68	P	0	638.39	M	0.05	834.93	P	0
41446_f_at	7144.4	P	0	5900.78	P	0	1525.11	P	0.01	1391.06	P	0.01	43741.7	P	0	20873.39	P	0	32128.75	P	0	21887.14	P	0
41447_at	175.47	A	0.09	227.39	P	0	381.7	P	0	452.85	P	0	290.33	P	0	292.94	P	0	46.43	A	0.62	77.9	A	0.4
41448_at	78.63	A	0.11	80.24	A	0.07	142.28	A	0.07	94.94	A	0.1	103.79	A	0.32	69.02	A	0.2	99.71	A	0.1	105.22	A	0.4
41449_at	944.02	P	0	465.94	P	0.02	646.29	P	0.02	607.22	P	0.02	560.85	P	0.03	455.71	P	0.02	289.4	A	0.28	297.31	A	0.38
41450_at	106.06	A	0.48	175.16	A	0.19	750.18	A	0.1	395.48	A	0.13	740.17	A	0.15	619.15	A	0.07	628.05	A	0.06	695.26	A	0.16
41451_s_at	91.51	P	0.03	67.59	P	0.01	219.46	P	0	207.15	P	0	408.79	P	0	413.6	P	0	280.95	P	0	284.36	P	0
41452_at	223.83	A	0.27	119.53	A	0.19	136.04	A	0.48	127.28	A	0.28	90.73	A	0.54	214.96	A	0.16	329.73	A	0.07	514.22	A	0.07
41453_at	502.95	P	0.01	525.98	P	0	393.68	A	0.09	417.03	A	0.06	38.94	A	0.75	19.18	A	0.72	24.18	A	0.87	28.45	A	0.92
41454_at	361.07	P	0.02	226.97	P	0.03	832.35	P	0	885.11	P	0	1163.79	P	0	1137.55	P	0	1425.44	P	0	1381.01	P	0
41455_at	150.15	A	0.18	124.34	M	0.05	203.5	A	0.06	123.99	A	0.22	24.83	A	0.6	15.65	A	0.68	32.75	A	0.52	29	A	0.68
41456_at	365.21	A	0.3	100.54	A	0.22	44.14	A	0.78	47.13	A	0.7	82.68	A	0.75	43.08	A	0.88	64.15	A	0.81	72.13	A	0.86
41457_at	371.16	P	0	354.74	P	0	431.85	P	0.02	494.24	P	0	156.39	A	0.19	139.49	A	0.07	21.5	A	0.77	93.08	A	0.2
41458_at	1449.23	A	0.16	1849.31	P	0.03	1707.83	A	0.06	1093.89	M	0.04	1715.37	A	0.06	1259.27	A	0.09	1920.44	A	0.16	2016.74	A	0.08
41459_at	99.04	A	0.2	49.73	A	0.3	147.53	P	0.04	202.38	P	0.01	125.23	A	0.25	52.02	A	0.5	10.51	A	0.95	24.71	A	0.66
41460_at	578.45	P	0.01	751.67	P	0	547.53	P	0.04	472.31	M	0.05	793.9	P	0.02	774.53	P	0.03	1110.17	P	0.01	1031.66	P	0.03
41461_at	49.8	A	0.22	35.42	M	0.04	134	P	0	147.73	P	0	38.46	A	0.52	3.81	A	0.8	4.59	A	0.91	5.96	A	0.85
41462_at	167.66	P	0.01	82.46	P	0	207.48	P	0.01	254.09	P	0	109.86	A	0.11	90.94	P	0.02	12.5	A	0.42	104.64	A	0.18
41463_at	1041.44	P	0	948.6	P	0	1204.34	P	0	1153.03	P	0	85.74	A	0.6	249.51	A	0.1	287.79	A	0.25	275.19	A	0.09
41464_at	488.96	A	0.09	828.78	P	0.01	826.14	P	0.04	844.13	P	0.04	873.37	A	0.07	792.08	A	0.09	1077.56	A	0.12	1122.88	A	0.08
41465_at	669.37	P	0	448.55	P	0.01	967.63	P	0	1106.84	P	0	508.41	M	0.05	547.46	P	0.02	589.32	A	0.07	606.05	A	0.11
41466_s_at	368.78	P	0.01	171.9	P	0	425.26	P	0	778.4	P	0	52	A	0.58	19.23	A	0.68	76	A	0.48	57.53	A	0.84
41467_at	53.74	A	0.77	52.85	A	0.66	81.88	A	0.54	125.78	A	0.46	397.23	A	0.4	344.53	A	0.2	422.42	A	0.38	403.17	A	0.42
41468_at	104.93	A	0.48	33.83	A	0.54	101.92	A	0.42	17.44	A	0.84	228.65	A	0.25	121.55	A	0.36	67.99	A	0.72	66.56	A	0.58
41469_at	325.18	A	0.14	163.18	A	0.11	255.04	A	0.18	205.96	A	0.34	253	A	0.15	254.16	A	0.16	417.72	A	0.22	510.13	A	0.12
41470_at	49.52	A	0.44	43.37	P	0.02	846.03	P	0	960.45	P	0	99.1	A	0.09	32.56	A	0.34	24.92	A	0.46	11.61	A	0.77
41471_at	31.16	A	0.98	20.84	A	0.95	50.59	A	0.54	143	A	0.46	3877.06	P	0	4690.6	P	0	336.85	A	0.23	201.45	A	0.5
41472_at	13.67	A	0.87	21.57	A	0.62	16.64	A	0.96	3.75	A	0.99	22.84	A	0.86	27.71	A	0.78	32.06	A	0.98	19.51	A	0.98
41473_at	27.47	A	0.88	94.52	A	0.52	25.11	A	0.81	19.98	A	0.9	299.3	A	0.22	456.79	A	0.07	793.32	M	0.05	1172.67	A	0.07
41474_at	379.4	P	0	284.87	P	0	1509.4	P	0	1691.43	P	0	92.1	A	0.22	205.76	P	0.01	99.12	A	0.32	130.99	A	0.12
41475_at	83.14	A	0.93	74.86	A	0.77	64.34	A	0.95	53.82	A	0.98	190.48	A	0.73	367.29	A	0.64	256.28	A	0.75	406.82	A	0.66
41476_at	808.04	P	0	1234.2	P	0	938.58	P	0	822.38	P	0	563.89	A	0.06	561.84	M	0.05	583.17	M	0.04	672.75	A	0.15
41477_at	10.71	A	0.93	11	A	0.82	19.75	A	0.84	10.55	A	0.94	30.84	A	0.92	12.77	A	0.97	13.35	A	0.95	14.68	A	0.93
41478_at	283.15	A	0.18	196.12	M	0.04	1680.69	P	0	1538.92	P	0	222.71	A	0.15	269.96	A	0.13	244.18	A	0.4	154.87	A	0.13
41479_s_at	60.68	A	0.28	31.91	A	0.32	137.12	A	0.12	136.95	A	0.07	139.77	A	0.22	81.46	P	0.01	36.31	A	0.6	151.99	A	0.16
41480_at	167.62	A	0.07	54.64	A	0.15	103.61	A	0.1	160.59	M	0.04	28.07	A	0.82	15.88	A	0.62	14.93	A	0.78	24.07	A	0.58
41481_at	20.78	A	0.86	9.21	A	0.8	11.06	A	0.89	65.14	A	0.64	19.16	A	0.95	19.08	A	0.66	15.29	A	0.85	17.91	A	0.91
41482_at	123.87	A	0.52	108.28	A	0.44	449.33	A	0.27	161.07	A	0.36	185.42	A	0.52	323.54	A	0.5	257.28	A	0.4	174.05	A	0.46
41483_s_at	12163.38	P	0	14422.31	P	0	8766.26	P	0	7364.82	P	0	14648.01	P	0	11965.29	P	0	4404.81	P	0	4863.97	P	0
41484_r_at	2781.19	P	0.02	3746.66	P	0.01	1178.73	A	0.07	1059.4	A	0.12	3537.58	A	0.09	2612.8	A	0.09	1214.4	A	0.46	1944.76	A	0.32
41485_at	3269.1	P	0	2806.76	P	0	3035.64	P	0	3514.72	P	0	12985.44	P	0	12210.3	P	0	5134.64	P	0	4716	P	0
41486_at	29.71	A	0.64	12.38	A	0.6	27.65	A	0.6	56.18	A	0.5	34.56	A	0.62	80.77	A	0.32	11.97	A	0.8	63.54	A	0.48
41487_at	20.02	A	1	12.18	A	0.91	15.86	A	0.99	14.75	A	0.99	37.23	A	0.94	28.47	A	0.86	34.41	A	0.84	52.91	A	0.7
41488_at	369.68	P	0	163.18	P	0	443.15	P	0	458.66	P	0	678.46	P	0	711.95	P	0	495.35	P	0	585.6	P	0
41489_at	491.35	P	0	642.56	P	0	406.05	P	0	445.77	P	0	624.83	P	0	758.5	P	0	699.16	P	0	1158.77	P	0
41490_at	445	P	0	373.73	P	0	717.62	P	0	802.35	P	0	395.59	P	0.04	395.05	P	0.02	426.75	A	0.08	351.19	A	0.07
41491_s_at	678.48	P	0	536.37	P	0	828.97	P	0	797.97	P	0	573.86	M	0.04	643.45	P	0.01	662.66	P	0.01	782.1	P	0.02
41492_r_at	204.84	A	0.88	194.84	A	0.85	164.85	A	0.78	123.86	A	0.84	294.65	A	0.86	235.25	A	0.82	334.49	A	0.89	293.11	A	0.86
41493_at	129.43	M	0.05	73.94	P	0.02	132.33	A	0.15	133.52	A	0.22	213.47	A	0.11	158.2	A	0.09	271.85	P	0.04	257.59	A	0.11
41494_at	338.49	A	0.54	734.26	A	0.16	234.49	A	0.54	121.67	A	0.64	402.4	A	0.48	278.49	A	0.46	139.59	A	0.64	283.45	A	0.5
41495_at	123.75	P	0.01	59.09	P	0.04	226.73	P	0	298.77	P	0	62.8	A	0.1	214.2	P	0.01	17.95	A	0.9	11.67	A	0.78
41496_at	152.91	A	0.27	182.13	A	0.32	148.51	A	0.36	87.01	A	0.48	84.74	A	0.8	59.8	A	0.64	159.49	A	0.44	211.59	A	0.3
41497_at	555.47	A	0.07	374.97	A	0.07	590.16	A	0.1	453.32	A	0.1	788.33	P	0.04	609.94	A	0.07	657.42	A	0.14	986.3	M	0.05
41498_at	10185.16	P	0	13624.87	P	0	5366.08	P	0	5816.14	P	0	690.32	P	0	975.77	P	0	1053.36	P	0	1126.63	P	0
41499_at	99.76	P	0.04	187.68	P	0	192.08	P	0	144.87	P	0.01	174.73	A	0.07	143.9	P	0.01	101.52	A	0.15	189.1	M	0.05
415_at	28.04	A	0.5	111.18	A	0.06	140.9	A	0.23	153.85	A	0.09	157.89	A	0.32	184.89	P	0.01	156.26	A	0.18	106.72	A	0.44
41500_at	447.87	A	0.28	502	A	0.13	617.84	A	0.12	845.93	A	0.13	559.4	A	0.2	691.43	A	0.15	1594.74	A	0.1	1913.94	A	0.09
41501_at	264.2	P	0.02	115.67	A	0.1	305.5	M	0.05	352.43	P	0.02	397.1	A	0.16	401.02	P	0.02	356	M	0.05	638.94	P	0.04
41502_at	109.09	A	0.38	79.92	A	0.15	120.28	A	0.56	138.03	A	0.23	165.5	A	0.22	121.61	A	0.36	277.77	A	0.15	319.05	A	0.19
41503_at	424.56	P	0	502.82	P	0	567.86	P	0	653.3	P	0	466.45	P	0	505.12	P	0	454.09	P	0	322.27	P	0
41504_s_at	958.42	P	0	1015.67	P	0	1730.22	P	0	1978.13	P	0	792.35	P	0	1077.39	P	0	827.17	P	0	525.78	P	0
41505_r_at	217.52	P	0.03	266.34	P	0	729.42	P	0	838.13	P	0	439.18	P	0.03	503.35	P	0	342.74	P	0.02	235.66	P	0.02
41506_at	202.45	A	0.22	168.5	A	0.1	253.63	A	0.22	232.15	A	0.11	151.16	A	0.48	267.52	A	0.2	191.1	A	0.48	57.6	A	0.73
41507_at	340.92	A	0.15	308.71	A	0.08	515.02	A	0.18	376.47	A	0.19	504.68	A	0.13	605.7	A	0.14	773.33	M	0.05	927.96	A	0.11
41508_at	354.32	A	0.11	464.25	P	0.01	139.73	A	0.46	62.22	A	0.54	184.4	A	0.48	55.85	A	0.54	130.98	A	0.44	172.57	A	0.44
41509_at	43	A	0.27	52.58	P	0.01	107	P	0.01	69.16	P	0.01	79.31	P	0.03	91.96	P	0	48.94	A	0.14	37.52	A	0.06
41510_s_at	494.59	P	0	324.69	P	0	617.02	P	0	610.29	P	0	678.32	P	0	594.53	P	0	285.77	P	0.04	312.79	P	0.04
41511_at	16.15	A	0.87	7.3	A	0.9	7.19	A	0.89	6.85	A	0.92	24.52	A	0.87	14.21	A	0.91	76.12	A	0.64	15.97	A	0.81
41512_at	160.6	A	0.3	167.14	P	0.02	194.84	A	0.18	153.88	A	0.08	145.07	A	0.52	148.26	A	0.48	25.16	A	0.86	43.05	A	0.68
41513_s_at	39.25	A	0.96	25.11	A	0.99	32.64	A	0.97	21.89	A	0.99	41.82	A	0.99	32.53	A	0.98	44.21	A	0.99	52.63	A	0.99
41514_s_at	1001.81	P	0	881.78	P	0	864.91	P	0.02	741.69	P	0.01	1400.77	P	0.02	1228	P	0.01	691.56	M	0.05	1195.74	A	0.06
41515_at	90.84	A	0.38	93.19	P	0.03	154.7	A	0.11	97.92	A	0.1	117.23	A	0.4	88.21	A	0.11	84.61	A	0.23	73.96	A	0.44
41516_at	57.5	A	0.9	37.79	A	0.85	39.48	A	0.92	27.57	A	0.93	51.05	A	0.91	38.99	A	0.94	64.76	A	0.97	44.71	A	0.97
41517_g_at	327.8	A	0.16	410.54	A	0.07	411.39	A	0.14	369.93	A	0.1	389.4	A	0.3	492.3	A	0.18	196.27	A	0.42	322.49	A	0.42
41518_at	35.21	A	0.94	32.61	A	0.56	79.3	A	0.56	19.94	A	0.93	27.16	A	0.82	30.39	A	0.73	36.29	A	0.77	38.24	A	0.86
41519_at	31.04	A	0.97	10.96	A	0.98	19.53	A	0.98	31.15	A	0.95	37.13	A	0.95	17.48	A	0.96	26.59	A	0.98	79.01	A	0.91
41520_at	47.01	A	0.7	37.43	A	0.66	44.41	A	0.54	60.32	A	0.6	78.3	A	0.68	56.76	A	0.68	62.1	A	0.78	92.29	A	0.88
41521_at	27.6	A	1	15.3	A	0.99	27.19	A	0.99	22.74	A	0.99	35.41	A	1	25.7	A	0.99	33.49	A	1	45.57	A	1
41522_at	84.62	A	0.77	151.65	A	0.5	87.18	A	0.73	41.78	A	0.81	118.45	A	0.82	88.12	A	0.56	104.2	A	0.81	89.83	A	0.84
41523_at	29.47	A	0.8	70.35	A	0.27	134.07	A	0.34	94.01	A	0.27	427.82	M	0.05	327.55	P	0.03	506.06	P	0.01	389.07	A	0.14
41524_at	464.2	P	0	229.5	P	0	420.43	P	0.02	321.38	P	0.01	259.07	P	0.04	253.36	P	0.02	183.63	A	0.18	40.21	A	0.6
41525_at	451.42	A	0.07	453.11	M	0.05	803.98	P	0.03	626.58	P	0.02	943.2	M	0.04	890.1	P	0.02	895.28	A	0.07	1201.54	A	0.1
41526_at	399.1	A	0.42	364.61	A	0.08	356.94	A	0.32	209.4	A	0.5	428.65	A	0.28	495.82	A	0.27	263.61	A	0.52	543.22	A	0.44
41527_f_at	170.66	A	0.19	118.86	A	0.23	47.08	A	0.73	45.11	A	0.77	124.32	A	0.52	19.73	A	0.95	36	A	0.89	33.67	A	0.93
41528_at	893.56	P	0.01	743.49	P	0.01	214.41	A	0.22	546.41	A	0.16	46.39	A	0.86	29.38	A	0.8	45.45	A	0.92	105.2	A	0.87
41529_g_at	1673.61	P	0	1563.51	P	0	1255.71	P	0	1365.54	P	0	552.44	P	0.01	627.46	P	0	371.6	P	0.02	388.91	P	0.03
41530_at	437.81	P	0	323.69	P	0.01	378.36	P	0.01	304.1	P	0	1853.53	P	0	1973.04	P	0	3056.36	P	0	2774.98	P	0
41531_at	128.3	A	0.2	88.05	A	0.11	166.12	A	0.28	152.02	P	0.04	310.1	M	0.04	485.51	P	0	172.65	M	0.04	98.72	A	0.36
41532_at	695.7	P	0	890.07	P	0	589.92	P	0	651.93	P	0.01	500.35	P	0.02	701.89	P	0	889.7	P	0	801.26	P	0.01
41533_at	284.58	P	0	319.76	P	0	771.83	P	0	820.37	P	0	143.46	P	0.01	145.99	P	0	236.79	A	0.07	128.6	A	0.11
41534_at	55.83	A	0.27	148.58	A	0.07	155.55	A	0.13	147.98	P	0.04	150.99	A	0.15	173.17	A	0.06	164.93	A	0.32	50.45	A	0.46
41535_at	1602.35	P	0	1545.37	P	0	1251.68	P	0	1403.54	P	0	670.49	P	0	869.06	P	0	747.66	P	0	939.29	P	0
41536_at	96.65	M	0.05	98.17	M	0.05	289.91	P	0.01	350.83	P	0	21.84	A	0.75	13.42	A	0.6	9.32	A	0.66	9.51	A	0.81
41537_r_at	251.69	A	0.43	623.57	A	0.46	1631.81	A	0.14	809.14	A	0.22	251.4	A	0.85	116.14	A	0.83	137.8	A	0.78	245.47	A	0.57
41538_r_at	112.77	A	0.99	63.42	A	0.99	45.67	A	1	45.93	A	1	92.63	A	1	51.83	A	1	91.98	A	1	66.32	A	1
41539_at	780.48	A	0.07	1026.14	P	0.01	109.55	A	0.5	174.96	A	0.44	118.04	A	0.58	77.55	A	0.62	295.82	A	0.4	93.77	A	0.64
41540_at	1406.58	P	0	1282.62	P	0	522.51	P	0	666.87	P	0	433.18	P	0.01	429.29	P	0	425.24	P	0.01	546.57	P	0.01
41541_at	128.95	A	0.75	155.61	A	0.62	215.55	A	0.66	83.82	A	0.68	283.68	A	0.58	254.35	A	0.56	179.96	A	0.78	75.92	A	0.87
